省份,城市,城市代码,市辖区县,市辖区县代码,城镇,城镇代码
陕西省,商洛市,611000000000,商州区,611002000000,南秦水库,611002401000
陕西省,商洛市,611000000000,商州区,611002000000,二龙山国营林场,611002402000
陕西省,商洛市,611000000000,商州区,611002000000,商丹循环工业园,611002403000
陕西省,商洛市,611000000000,商州区,611002000000,荆河工业园,611002404000
陕西省,商洛市,611000000000,商州区,611002000000,荆河农业示范园,611002405000
陕西省,商洛市,611000000000,商州区,611002000000,高校园区,611002406000
陕西省,商洛市,611000000000,商州区,611002000000,商洛职业技术学院,611002407000
陕西省,商洛市,611000000000,商州区,611002000000,氟化硅产业业园,611002408000
吉林省,白城市,220800000000,吉林白城经济开发区,220871000000,幸福街道,220871001000
吉林省,白城市,220800000000,吉林白城经济开发区,220871000000,保平街道,220871002000
吉林省,白城市,220800000000,吉林白城经济开发区,220871000000,西郊街道,220871003000
吉林省,白城市,220800000000,通榆县,220822000000,树满街道,220822001000
吉林省,白城市,220800000000,通榆县,220822000000,八区街道,220822002000
吉林省,白城市,220800000000,通榆县,220822000000,迎新街道,220822003000
吉林省,白城市,220800000000,通榆县,220822000000,开通镇,220822100000
吉林省,白城市,220800000000,通榆县,220822000000,瞻榆镇,220822101000
吉林省,白城市,220800000000,通榆县,220822000000,双岗镇,220822102000
吉林省,白城市,220800000000,通榆县,220822000000,兴隆山镇,220822103000
吉林省,白城市,220800000000,通榆县,220822000000,边昭镇,220822104000
吉林省,白城市,220800000000,通榆县,220822000000,鸿兴镇,220822105000
吉林省,白城市,220800000000,通榆县,220822000000,新华镇,220822106000
吉林省,白城市,220800000000,通榆县,220822000000,乌兰花镇,220822107000
吉林省,白城市,220800000000,通榆县,220822000000,新发乡,220822200000
吉林省,白城市,220800000000,通榆县,220822000000,新兴乡,220822201000
吉林省,白城市,220800000000,通榆县,220822000000,向海蒙古族乡,220822202000
吉林省,白城市,220800000000,通榆县,220822000000,包拉温都蒙古族乡,220822203000
吉林省,白城市,220800000000,通榆县,220822000000,团结乡,220822204000
吉林省,白城市,220800000000,通榆县,220822000000,十花道乡,220822205000
吉林省,白城市,220800000000,通榆县,220822000000,八面乡,220822206000
吉林省,白城市,220800000000,通榆县,220822000000,苏公坨乡,220822207000
吉林省,白城市,220800000000,通榆县,220822000000,通榆经济开发区,220822400000
吉林省,白城市,220800000000,通榆县,220822000000,三家子种牛场,220822401000
吉林省,白城市,220800000000,通榆县,220822000000,新华牛场,220822405000
吉林省,白城市,220800000000,镇赉县,220821000000,鹤城街道,220821001000
吉林省,白城市,220800000000,镇赉县,220821000000,镇东街道,220821002000
吉林省,白城市,220800000000,镇赉县,220821000000,赉北街道,220821003000
吉林省,白城市,220800000000,镇赉县,220821000000,镇赉镇,220821100000
吉林省,白城市,220800000000,镇赉县,220821000000,坦途镇,220821101000
吉林省,白城市,220800000000,镇赉县,220821000000,东屏镇,220821102000
吉林省,白城市,220800000000,镇赉县,220821000000,大屯镇,220821103000
吉林省,白城市,220800000000,镇赉县,220821000000,沿江镇,220821104000
吉林省,白城市,220800000000,镇赉县,220821000000,五棵树镇,220821105000
吉林省,白城市,220800000000,镇赉县,220821000000,黑鱼泡镇,220821106000
吉林省,白城市,220800000000,镇赉县,220821000000,哈吐气蒙古族乡,220821200000
吉林省,白城市,220800000000,镇赉县,220821000000,莫莫格蒙古族乡,220821201000
吉林省,白城市,220800000000,镇赉县,220821000000,建平乡,220821202000
吉林省,白城市,220800000000,镇赉县,220821000000,嘎什根乡,220821203000
吉林省,白城市,220800000000,镇赉县,220821000000,四方坨子农场,220821400000
吉林省,白城市,220800000000,镇赉县,220821000000,良种繁育场,220821402000
吉林省,白城市,220800000000,镇赉县,220821000000,九龙山马场,220821403000
吉林省,白城市,220800000000,镇赉县,220821000000,国营渔场,220821406000
吉林省,白城市,220800000000,洮北区,220802000000,海明街道,220802001000
吉林省,白城市,220800000000,洮北区,220802000000,长庆街道,220802002000
吉林省,白城市,220800000000,洮北区,220802000000,瑞光街道,220802003000
吉林省,白城市,220800000000,洮北区,220802000000,明仁街道,220802004000
吉林省,白城市,220800000000,洮北区,220802000000,铁东街道,220802005000
吉林省,白城市,220800000000,洮北区,220802000000,（工业园区）城南街道,220802006000
吉林省,白城市,220800000000,洮北区,220802000000,新立街道,220802007000
吉林省,白城市,220800000000,洮北区,220802000000,新华街道,220802009000
